x,z,K00,K01,K02,K10,K11,K12,K20,K21,K22
-8.85827,0.92126,-0.0181798,0.00506835,0.00545102,0.00399425,0.028119,-0.000358096,0.00536118,-0.000699365,0.0279027
-8.85827,1.06299,-0.0179568,0.0050191,0.00624625,0.00396463,0.0280115,-0.000409878,0.00615624,-0.000799184,0.027593
-8.85827,1.20472,-0.0177044,0.00496354,0.00702229,0.00393108,0.0278897,-0.000460284,0.00693223,-0.00089584,0.0272438
-8.85827,1.34646,-0.0174237,0.00490199,0.00777702,0.00389376,0.0277539,-0.000509163,0.00768702,-0.000989003,0.0268569
-8.85827,1.48819,-0.0171163,0.00483478,0.00850848,0.00385283,0.0276046,-0.000556377,0.00841867,-0.00107837,0.0264342
-8.85827,1.62992,-0.0167837,0.00476226,0.0092149,0.00380845,0.0274422,-0.000601798,0.00912539,-0.00116368,0.0259779
-8.85827,1.77165,-0.0164275,0.00468481,0.00989467,0.00376082,0.0272673,-0.000645314,0.00980557,-0.0012447,0.0254901
-8.85827,1.91339,-0.0160495,0.00460282,0.0105464,0.00371013,0.0270803,-0.000686825,0.0104578,-0.00132123,0.0249732
-8.85827,2.05512,-0.0156514,0.00451669,0.0111688,0.00365659,0.0268818,-0.000726246,0.0110808,-0.0013931,0.0244295
-8.85827,2.19685,-0.0152351,0.00442682,0.0117608,0.00360041,0.0266724,-0.000763503,0.0116736,-0.0014602,0.0238614
