x,z,gamma_00,gamma_01,gamma_02,gamma_10,gamma_11,gamma_12,gamma_20,gamma_21,gamma_22
-8.14286,-7.57143,1.09189,-0.00929903,0.079795,-0.00937501,1.00802,-0.00863719,0.0797684,-0.00888132,1.08179
-8.14286,-7.28571,1.09647,-0.00992717,0.0807071,-0.00999872,1.00835,-0.00886509,0.0806784,-0.00912543,1.08007
-8.14286,-7,1.10123,-0.0105929,0.081481,-0.0106587,1.0087,-0.00908213,0.08145,-0.00935926,1.07816
-8.14286,-6.71429,1.10619,-0.0112992,0.0820958,-0.0113577,1.00906,-0.00928518,0.0820624,-0.00957949,1.07607
-8.14286,-6.42857,1.11135,-0.0120463,0.0825277,-0.0120959,1.00944,-0.0094705,0.0824918,-0.00978221,1.0738
-8.14286,-6.14286,1.11669,-0.0128346,0.0827518,-0.0128733,1.00983,-0.00963397,0.0827134,-0.00996312,1.07135
-8.14286,-5.85714,1.12221,-0.0136635,0.0827416,-0.0136893,1.01024,-0.00977107,0.0827005,-0.0101174,1.06871
-8.14286,-5.57143,1.1279,-0.014532,0.0824694,-0.0145427,1.01065,-0.0098769,0.0824257,-0.0102399,1.0659
-8.14286,-5.28571,1.13373,-0.0154384,0.0819068,-0.0154315,1.01108,-0.00994625,0.0818606,-0.0103251,1.06292
-8.14286,-5,1.13968,-0.0163797,0.081025,-0.0163529,1.01152,-0.00997361,0.0809764,-0.0103669,1.05978
-8.14286,-4.71429,1.14573,-0.0173524,0.0797955,-0.017303,1.01197,-0.00995332,0.0797447,-0.0103594,1.0565
-8.14286,-4.42857,1.15184,-0.0183514,0.0781907,-0.0182769,1.01243,-0.00987965,0.0781378,-0.0102962,1.0531
-8.14286,-4.14286,1.15798,-0.0193706,0.0761846,-0.0192686,1.01289,-0.00974696,0.0761301,-0.0101712,1.04961
