x,z,rho,p,vx,vy,vz
-1.5,-1.5,0.00171088,0.000514727,-0.12761,-1.7024,-0.0890545
-1.5,-1.4,0.0021659,0.000652115,-0.126123,-1.73553,-0.0826278
-1.5,-1.3,0.00271717,0.000818843,-0.124484,-1.76931,-0.0761654
-1.5,-1.2,0.00337798,0.0010191,-0.122684,-1.8037,-0.0696772
-1.5,-1.1,0.00416158,0.00125713,-0.120711,-1.83863,-0.0631763
-1.5,-1,0.00508067,0.00153711,-0.118552,-1.87407,-0.0566793
-1.5,-0.9,0.00614672,0.00186291,-0.116195,-1.90991,-0.0502069
-1.5,-0.8,0.00736931,0.00223795,-0.113629,-1.94607,-0.043785
-1.5,-0.7,0.00875531,0.00266492,-0.110841,-1.98245,-0.0374451
-1.5,-0.6,0.0103081,0.00314554,-0.107822,-2.01891,-0.0312252
-1.5,-0.5,0.0120266,0.0036803,-0.104563,-2.05532,-0.0251706
-1.5,-0.4,0.013905,0.00426816,-0.101059,-2.0915,-0.0193344
-1.5,-0.3,0.0159315,0.00490636,-0.0973114,-2.12727,-0.0137776
-1.5,-0.2,0.0180886,0.00559019,-0.0933277,-2.16243,-0.00856862
-1.5,-0.1,0.0203524,0.00631282,-0.0891249,-2.19674,-0.00378235
-1.5,1.11022e-16,0.0226926,0.00706527,-0.0847318,-2.22997,0.000501958
-1.5,0.1,0.0250736,0.00783641,-0.080191,-2.26185,0.00420395
-1.5,0.2,0.0274541,0.00861311,-0.0755612,-2.2921,0.00724654
-1.5,0.3,0.0297893,0.0093805,-0.0709175,-2.32045,0.00956146
-1.5,0.4,0.0320313,0.0101224,-0.066352,-2.34659,0.0110958
-1.5,0.5,0.0341309,0.0108217,-0.0619715,-2.37025,0.0118187
-1.5,0.6,0.0360399,0.0114614,-0.0578941,-2.39114,0.0117284
-1.5,0.7,0.037712,0.0120247,-0.0542436,-2.409,0.0108572
